symbol,name,price,token_id,exchange,sz_decimals,discovered_at
PUMP,PUMP,0.003772,pump,hyperliquid,0,2025-11-03T16:43:24.969182
PURR,PURR,0.10996,purr,hyperliquid,0,2025-11-03T16:43:24.968977
PYTH,PYTH,0.09383,pyth,hyperliquid,0,2025-11-03T16:43:24.968623
RDNT,RDNT,0.018328,rdnt,hyperliquid,0,2025-11-03T16:43:24.968518
RENDER,RENDER,2.0008,render,hyperliquid,1,2025-11-03T16:43:24.968927
REQ,REQ,0.15473,req,hyperliquid,0,2025-11-03T16:43:24.968533
RESOLV,RESOLV,0.043414,resolv,hyperliquid,0,2025-11-03T16:43:24.969175
REZ,REZ,0.007545,rez,hyperliquid,0,2025-11-03T16:43:24.968892
RLB,RLB,0.071,rlb,hyperliquid,0,2025-11-03T16:43:24.968155
RNDR,RNDR,6.8952,rndr,hyperliquid,1,2025-11-03T16:43:24.968079
RSR,RSR,0.004811,rsr,hyperliquid,0,2025-11-03T16:43:24.968701
RUNE,RUNE,0.78594,rune,hyperliquid,1,2025-11-03T16:43:24.968186
S,S,0.120035,s,hyperliquid,0,2025-11-03T16:43:24.969054
SAGA,SAGA,0.08448,saga,hyperliquid,1,2025-11-03T16:43:24.968867
SAND,SAND,0.1826,sand,hyperliquid,0,2025-11-03T16:43:24.968991
SCR,SCR,0.15456,scr,hyperliquid,1,2025-11-03T16:43:24.968954
SEI,SEI,0.16641,sei,hyperliquid,0,2025-11-03T16:43:24.968178
SHIA,SHIA,0.000621,shia,hyperliquid,0,2025-11-03T16:43:24.968198
SKY,SKY,0.053053,sky,hyperliquid,0,2025-11-03T16:43:24.969207
SNX,SNX,0.8847,snx,hyperliquid,1,2025-11-03T16:43:24.968093
SOL,SOL,167.46,sol,hyperliquid,2,2025-11-03T16:43:24.968020
SOPH,SOPH,0.022623,soph,hyperliquid,0,2025-11-03T16:43:24.969169
SPX,SPX,0.74643,spx,hyperliquid,1,2025-11-03T16:43:24.969047
STBL,STBL,0.070011,stbl,hyperliquid,0,2025-11-03T16:43:24.969231
STG,STG,0.15387,stg,hyperliquid,0,2025-11-03T16:43:24.968585
STRAX,STRAX,1.5829,strax,hyperliquid,0,2025-11-03T16:43:24.968593
STRK,STRK,0.10664,strk,hyperliquid,1,2025-11-03T16:43:24.968816
STX,STX,0.37329,stx,hyperliquid,1,2025-11-03T16:43:24.968075
SUI,SUI,2.0693,sui,hyperliquid,1,2025-11-03T16:43:24.968056
SUPER,SUPER,0.32086,super,hyperliquid,0,2025-11-03T16:43:24.968665
SUSHI,SUSHI,0.44738,sushi,hyperliquid,1,2025-11-03T16:43:24.968627
SYRUP,SYRUP,0.40958,syrup,hyperliquid,0,2025-11-03T16:43:24.969179
TAO,TAO,467.055,tao,hyperliquid,3,2025-11-03T16:43:24.968827
TIA,TIA,0.82288,tia,hyperliquid,1,2025-11-03T16:43:24.968551
TNSR,TNSR,0.0471,tnsr,hyperliquid,1,2025-11-03T16:43:24.968864
TON,TON,2.074,ton,hyperliquid,1,2025-11-03T16:43:24.968566
