timestamp,long_size,short_size,total_size
2025-11-05 10:14:50.943775,454439.9212785,1123363.5283806399,1577803.4496591398
2025-11-05 10:24:59.336666,452146.18567837996,280451.1073347,732597.29301308
2025-11-05 10:35:08.674073,237289.6407992,228805.0040065,466094.6448057
2025-11-05 10:45:17.996250,246653.5134095,192812.50789729998,439466.02130679996
2025-11-05 10:55:28.153528,149101.39068179997,190950.9166853,340052.3073671
2025-11-05 11:05:36.684985,217358.6429123,266042.7749664,483401.4178787
2025-11-05 11:15:45.264923,279363.192761,192314.9800692,471678.17283020006
2025-11-05 11:25:56.450142,180890.3088047,104136.7639124,285027.07271710003
2025-11-05 11:36:05.927908,92170.63725999999,99958.23669990001,192128.8739599
2025-11-05 11:46:58.557098,519726.83772839996,194901.16120080004,714627.9989292
2025-11-05 11:57:48.320859,1388312.8135878001,184554.4564036,1572867.2699914002
2025-11-05 12:07:56.663607,298008.85712631,249949.3419604,547958.19908671
2025-11-05 12:18:47.243086,116241.56231440001,537910.417504,654151.9798184
2025-11-05 12:29:36.272439,178645.33255460003,500932.93611769995,679578.2686723
2025-11-05 12:40:24.205012,301998.1715085,392318.18592920003,694316.3574377
2025-11-05 12:50:33.115764,153840.77721170004,555359.2220945,709199.9993062001
2025-11-05 13:01:22.862672,200667.8721488,1127958.1842272999,1328626.0563760998
2025-11-05 13:12:14.815094,357294.46504100005,246996.9120772,604291.3771182001
2025-11-05 13:23:02.649476,273595.05475440004,809201.9780617,1082797.0328161
2025-11-05 13:33:51.833649,287755.58965670003,2430022.1237409,2717777.7133975998
2025-11-05 13:44:00.057655,162502.7941052,298551.73987349996,461054.53397869994
2025-11-05 13:54:08.376173,173928.8146064,211772.43044999999,385701.24505639996
2025-11-05 14:04:16.543309,206542.4559935,218318.928856,424861.3848495
2025-11-05 14:15:18.041690,361547.3885262,365926.585996,727473.9745222
2025-11-05 14:26:07.502478,456700.98665720003,819019.6005227,1275720.5871799001
2025-11-05 14:36:18.135291,172988.91060499998,884052.1665912002,1057041.0771962001
2025-11-05 14:47:07.680456,324383.1446236,1190444.3810096,1514827.5256331998
2025-11-05 14:57:59.522475,454822.12165210006,2509033.64428901,2963855.7659411104
2025-11-05 15:08:08.062411,523044.31300120003,2142511.42715785,2665555.74015905
2025-11-05 15:18:57.370831,1433032.60106064,308222.2920397,1741254.8931003402
2025-11-05 15:29:11.215137,1268137.6294299003,156782.4961717,1424920.1256016004
2025-11-05 15:39:26.141924,1011273.2592249,140355.688745,1151628.9479699
2025-11-05 15:50:14.505205,389179.6818633,841393.4432508999,1230573.1251142
2025-11-05 16:00:23.365322,210073.4788379,713697.6162037,923771.0950415999
2025-11-05 16:11:13.536336,756907.0987745001,718592.1170915002,1475499.2158660004
2025-11-05 16:21:22.290175,321484.63433649996,978305.3796961999,1299790.0140326999
2025-11-05 16:31:30.671840,253674.1480628,735879.9018417001,989554.0499045001
2025-11-05 16:42:22.813037,238876.0165743,3406776.2743325997,3645652.2909068996
2025-11-05 16:52:31.471157,325014.85300370003,3542647.7040539,3867662.5570576005
2025-11-05 17:02:44.627221,172507.3259618,947668.6960098001,1120176.0219716001
2025-11-05 17:13:34.635192,418557.7311365,938496.3876813999,1357054.1188178998
2025-11-05 17:24:29.072204,1142860.0147068,247407.18084469996,1390267.1955515
2025-11-05 17:35:17.565407,325539.7613268,1117727.6663817998,1443267.4277085997
2025-11-05 17:45:26.665642,295489.24193284,1181969.21517955,1477458.45711239
2025-11-05 17:56:16.250528,277096.98005624,2601400.4292537,2878497.4093099404
2025-11-05 18:06:24.768192,219411.71819490002,918267.3164631,1137679.034658
2025-11-05 18:17:15.006415,1339616.5522701,207823.51189239998,1547440.0641625
2025-11-05 18:28:03.203202,196680.37560923,421690.7847783,618371.16038753
2025-11-05 18:38:57.383047,262798.0087625,730328.3891026,993126.3978651001
2025-11-05 18:49:51.029038,405470.43427019997,160623.12478083,566093.55905103
2025-11-05 18:59:59.528146,260582.1162994,114383.57826210003,374965.6945615
2025-11-05 19:10:10.535037,184602.6238856,168161.4679767,352764.0918623
2025-11-05 19:21:03.989036,244206.5009808,990131.3900888001,1234337.8910696001
2025-11-05 19:31:13.637033,119955.93980240001,1103295.1926182,1223251.1324206002
2025-11-05 19:42:04.280628,213833.79418499998,1698666.1806180503,1912499.9748030503
2025-11-05 19:52:52.712691,422617.01430930005,1557620.9862675,1980238.0005768002
2025-11-05 20:03:01.387480,227953.60358989998,1119267.5312438998,1347221.1348338
2025-11-05 20:13:50.341508,439274.8500875,188666.0167777,627940.8668652
2025-11-05 20:24:40.711311,316610.1599394,993530.1539522,1310140.3138916
2025-11-05 20:35:37.184610,2400258.6550761005,1117551.8215001002,3517810.4765762007
2025-11-05 20:45:45.540992,267875.8919315,633487.5385983001,901363.4305298
2025-11-05 20:56:35.666482,478429.55637169996,371026.1259177,849455.6822893999
2025-11-05 21:06:44.354341,243833.9178548,526785.3911426901,770619.3089974901
2025-11-05 21:17:35.798459,333577.04840599996,1195663.17315059,1529240.22155659
2025-11-05 21:28:30.447361,512730.9215059,900137.2025128,1412868.1240186999
