coin_name,symbol,price,price_change_1h_pct,price_change_24h_pct,price_change_7d_pct,volume_24h,market_cap,market_cap_rank,momentum_score,momentum_type,category,high_24h,low_24h,ath,ath_date,circulating_supply,total_supply
Derive DRV,DRV,0.03614178,0.5374724248024644,-9.15033,-16.506873812535204,232419.0,31032876.0,948.0,0.7596459599464094,⚠️ MIXED,Derivatives,0.04134176,0.03482835,0.228265,2025-01-15T03:52:14.666Z,858449390.1173825,1500000000.0
Nereus NRS,NRS,0.136417,-0.0680512754322018,0.58985,1.4674631942472205,161743.0,5330014.0,2142.0,0.7503300226124479,📊 UPTREND (recent dip),Derivatives,0.138032,0.135586,0.687331,2024-11-19T10:50:05.024Z,39007160.0,1000000000.0
Streamr DATA,DATA,0.00681352,1.5212807238371282,0.59865,-18.019478648359197,2478822.0,5245670.0,2157.0,0.27605968542374626,⚠️ MIXED,Layer 0 (L0),0.0069826,0.00656576,0.209972,2021-12-02T17:13:34.674Z,767121867.0,1000541714.0
Cryptex Finance CTX,CTX,1.16,-0.5713323927761148,1.1831,-5.424779117662693,7040665.0,9120773.0,1762.0,0.07075187437969954,⚠️ MIXED,Derivatives,1.18,1.15,44.13,2021-09-13T15:58:08.605Z,7838689.451174722,10000000.0
SYMMIO SYMM,SYMM,0.01254681,4.881850607864462,5.43069,-7.155418565987611,28151.0,8960242.0,1772.0,-0.25659030482215206,⚠️ MIXED,Derivatives,0.01256035,0.01028047,0.150809,2024-12-17T13:23:40.125Z,723494433.1210982,849426537.3883382
Wrapped Viction WVIC,WVIC,0.116429,2.654461813034707,1.41741,-18.24993239981425,1166.31,0.0,,-1.3438575973187588,⚠️ MIXED,Masternodes,0.121228,0.111204,0.641928,2025-07-08T19:30:42.678Z,0.0,210000000.0
Neoxa NEOX,NEOX,7.489e-05,-0.7197199040446717,9.65672,-12.243116284148844,14512.67,673327.0,4425.0,-2.1441744944684724,⚠️ MIXED,Masternodes,8.109e-05,6.815e-05,0.02486785,2022-09-04T21:07:17.529Z,8992421226.311588,8997301226.311588
Bifrost BNC,BNC,0.08956,-0.3983439310777392,-8.90952,1.4609243968866772,971256.0,3970795.0,2393.0,-2.1681550274608767,⚡ RECOVERING,Derivatives,0.098358,0.08936,6.14,2021-11-03T14:59:32.094Z,44278490.07817114,80000000.0
Photon PHOTON,PHOTON,0.287937,-0.3729129841613941,3.84768,-18.309535966348072,151831.0,515988.0,4777.0,-6.244092983371509,⚠️ MIXED,Layer 0 (L0),0.289015,0.261324,0.679355,2025-10-01T20:56:31.660Z,1791671.0,8967492.0
GEEQ GEEQ,GEEQ,0.02283726,2.7939585187685747,-3.42497,-19.77029137266249,255278.0,1246168.0,3604.0,-8.376815845311283,⚠️ MIXED,Layer 0 (L0),0.02473975,0.02105945,4.88,2020-08-10T02:02:13.370Z,54500000.0,100000000.0
