rank,coin_id,coin_name,symbol,price,price_change_24h,volume_24h,market_cap,category,scraped_at
,overlay-protocol,Overlay Protocol OVL,OVL,,0.9%,N/A,N/A,Derivatives,2025-11-05T13:15:19.723669
,full-moon,Full Moon FM,FM,,1.4%,N/A,N/A,Derivatives,2025-11-05T13:15:19.834673
,contango,Contango TANGO,TANGO,,0.8%,N/A,N/A,Derivatives,2025-11-05T13:15:19.952748
,ribbon-finance,Ribbon Finance RBN,RBN,,N/A,N/A,N/A,Derivatives,2025-11-05T13:15:20.053599
,tlx,TLX TLX,TLX,,N/A,N/A,N/A,Derivatives,2025-11-05T13:15:20.170958
,bifrost-native-coin,Bifrost BNC,BNC,,0.4%,N/A,N/A,Derivatives,2025-11-05T13:15:20.278716
,polkadot,Polkadot DOT,DOT,Buy,1.4%,N/A,N/A,Layer 0 (L0),2025-11-05T13:15:26.548473
,internet-computer,Internet Computer ICP,ICP,Buy,3.5%,N/A,N/A,Layer 0 (L0),2025-11-05T13:15:26.639298
,cosmos-hub,Cosmos Hub ATOM,ATOM,Buy,0.6%,N/A,N/A,Layer 0 (L0),2025-11-05T13:15:26.730483
,atomone,AtomOne ATONE,ATONE,,0.9%,N/A,N/A,Layer 0 (L0),2025-11-05T13:15:26.818064
,layerzero,LayerZero ZRO,ZRO,,1.2%,N/A,N/A,Layer 0 (L0),2025-11-05T13:15:26.907217
,constellation,Constellation DAG,DAG,,0.3%,N/A,N/A,Layer 0 (L0),2025-11-05T13:15:27.002420
,c8ntinuum,c8ntinuum CTM,CTM,,1.3%,N/A,N/A,Layer 0 (L0),2025-11-05T13:15:27.090972
,naoris-protocol,Naoris Protocol NAORIS,NAORIS,,0.2%,N/A,N/A,Layer 0 (L0),2025-11-05T13:15:27.181686
,openverse-network,Openverse Network BTG,BTG,,0.7%,N/A,N/A,Layer 0 (L0),2025-11-05T13:15:27.280507
,streamr,Streamr DATA,DATA,,1.5%,N/A,N/A,Layer 0 (L0),2025-11-05T13:15:27.389319
,cellframe,Cellframe CELL,CELL,,0.4%,N/A,N/A,Layer 0 (L0),2025-11-05T13:15:27.478356
,analog,Analog ANLOG,ANLOG,,0.6%,N/A,N/A,Layer 0 (L0),2025-11-05T13:15:27.568476
,geeq,GEEQ GEEQ,GEEQ,,2.8%,N/A,N/A,Layer 0 (L0),2025-11-05T13:15:27.653070
,photon-2,Photon PHOTON,PHOTON,,0.4%,N/A,N/A,Layer 0 (L0),2025-11-05T13:15:27.766248
,hypercycle,HyperCycle HYPC,HYPC,,0.5%,N/A,N/A,Layer 0 (L0),2025-11-05T13:15:27.894553
,vitreus,Vitreus WVTRS,WVTRS,,0.6%,N/A,N/A,Layer 0 (L0),2025-11-05T13:15:27.984480
